entity_type,entity_id,center_name,identity_source_id,identity_record_id,identity_basis
county,10300029,ترکمانچای,coordinate-center-verification-2026-09-19,county:10300029,verified_override
county,10400010,بوکان,geonames-iran-2026-09-19,139889,geonames_admin_feature
county,10400011,شاهین دژ,geonames-iran-2026-09-19,117793,geonames_admin_feature
county,10400012,تکاب,geonames-iran-2026-09-19,113508,geonames_admin_feature
county,10400013,اشنویه,geonames-iran-2026-09-19,121795,geonames_admin_feature
county,10400014,سیه چشمه,geonames-iran-2026-09-19,116326,geonames_admin_feature
county,10400015,پلدشت,geonames-iran-2026-09-19,120954,geonames_admin_feature
county,10400016,قره ضیاءالدین,geonames-iran-2026-09-19,119730,geonames_admin_feature
county,10400017,شوط,geonames-iran-2026-09-19,401118,geonames_admin_feature
county,10400018,چهاربرج,coordinate-center-verification-2026-09-19,county:10400018,verified_override
county,10400019,باروق,coordinate-center-verification-2026-09-19,county:10400019,verified_override
county,10400020,میرآباد,geonames-iran-2026-09-19,3315,geonames_admin_feature
county,10500010,صحنه,geonames-iran-2026-09-19,117835,geonames_admin_feature
county,10500011,هرسین,geonames-iran-2026-09-19,131962,geonames_admin_feature
county,10500012,تازه آباد,geonames-iran-2026-09-19,6709138,geonames_admin_feature
county,10500013,کرند,coordinate-center-verification-2026-09-19,county:10500013,verified_override
county,10500014,روانسر,geonames-iran-2026-09-19,118705,geonames_admin_feature
county,10600010,رامهرمز,geonames-iran-2026-09-19,118826,geonames_admin_feature
county,10600011,شادگان,geonames-iran-2026-09-19,116102,geonames_admin_feature
county,10600012,شوشتر,geonames-iran-2026-09-19,114584,geonames_admin_feature
county,10600013,مسجدسلیمان,geonames-iran-2026-09-19,124620,geonames_admin_feature
county,10600014,شوش,geonames-iran-2026-09-19,114593,geonames_admin_feature
county,10600015,باغ ملک,geonames-iran-2026-09-19,142114,geonames_admin_feature
county,10600016,امیدیه,geonames-iran-2026-09-19,121861,geonames_admin_feature
county,10600017,لالی,geonames-iran-2026-09-19,125938,geonames_admin_feature
county,10600018,هندیجان,geonames-iran-2026-09-19,131559,geonames_admin_feature
county,10600019,رامشیر,geonames-iran-2026-09-19,118805,geonames_admin_feature
county,10600020,گتوند,geonames-iran-2026-09-19,133884,geonames_admin_feature
county,10600021,قلعه خواجه,geonames-iran-2026-09-19,120499,geonames_admin_feature
county,10600022,هفتگل,geonames-iran-2026-09-19,132428,geonames_admin_feature
county,10600023,هویزه,geonames-iran-2026-09-19,130821,geonames_admin_feature
county,10600024,ملاثانی,geonames-iran-2026-09-19,123389,geonames_admin_feature
