geonameid	name	asciiname	alternatenames	latitude	longitude	feature_class	feature_code	country_code	cc2	admin1_code	admin2_code	admin3_code	admin4_code	population	elevation	dem	timezone	modification_date
116126	Shabestar	Shabestar	Chabiastar,Shabestar,Shabiastar,Shabistar,shbstr,Шабестар,شبستر	38.1804	45.7028	P	PPLA2	IR		33				22181		1433	Asia/Tehran	2026-04-28
116318	Şeydūn	Seydun	Seydan,Seydun,sidan,sydwn,Şeydān,Şeydūn,صِيدان,صیدون	31.36682	50.08335	P	PPL	IR		15				0		963	Asia/Tehran	2024-07-22
116326	Seyah Cheshmeh	Seyah Cheshmeh	Kara Aineh,Qareh Eyni,Qareh Eynī,Seyah Cheshmeh,Siah Chashmeh,Siah Cheshmeh,Siyah Cheshmeh,Siāh Chashmeh,Sīyah Cheshmeh,Sīāh Cheshmeh,qarih ainy,syah chishmih,syh chshmh,سياه چِشمِه,سيه چشمه,قَرِه اِينی	39.06508	44.38416	P	PPLA2	IR		01				17804		1832	Asia/Tehran	2026-05-21
116364	Tall Beyẕā	Tall Beyza	Bayza,Bayzâ,Beyza,Beyzā,Beyẕā,Sepidan,Sepīdān,Tal-e Baiza,Tall Beyza,Tall Beyẕā,Tol-e Beyza,Tol-e Beyẕā,byda,tl byda,بیضا,تل بیضا	29.9717	52.40059	P	PPL	IR		07				0		1634	Asia/Tehran	2026-07-13
116402	Semnan	Semnan	SNX,Semnan,Semnān,smnan,Семнан,سمنان	35.57691	53.39205	P	PPLA	IR		25				124826		1148	Asia/Tehran	2024-07-22
116406	Semīrom	Semirom	Samirum,Semirom,Semīrom,Simrom,Sīmrom,smyrm,سمیرم	31.41667	51.56667	P	PPLA2	IR		28				26942		2425	Asia/Tehran	2026-06-01
116667	Sāveh	Saveh	Sava,Saveh,Sāveh,sawh,Сава,ساوه	35.0213	50.3566	P	PPLA2	IR		34				220762		1008	Asia/Tehran	2026-04-25
116725	Sarvestān	Sarvestan	Sarvestan,Sarvestān,Sarvistan,Sarvistān,srwstan,سروستان	29.2735	53.2203	P	PPLA2	IR		07				18187		1542	Asia/Tehran	2026-05-13
116739	Sarvābād	Sarvabad	Sarrabad,Sarrābād,Sarvabad,Sarvābād,Saulawa,Saulāwa,Sulaveh,Sūlāveh,srw abad,سرو آباد	35.3126	46.3669	P	PPLA2	IR		16				5121	1130	1184	Asia/Tehran	2025-04-07
116996	Sari	Sari	SRY,Sari,Sari i Iran,Saris,Sariyo,Sarí,Sarî,Shahr-i-Tajan,Shari-i-Tajan,Sori,Szari,Szári,Sárí,Sārī,sa li shi,sali,sari,sary,sary  ayran,Σάρι,Сари,Сарі,Сорӣ,Սարի,سارى,ساري,ساری,ساری، ایران,सारी,სარი,サーリー,薩里市,사리	36.56332	53.06009	P	PPLA	IR		35				255396		43	Asia/Tehran	2013-05-12
