county_id,county_name,province_id,center_name,latitude,longitude,source_id
1240007,کوثر,124,گیوی,37.68585,48.34204,geonames-iran-2026-09-19
1240008,نمین,124,نمین,38.4269,48.4839,geonames-iran-2026-09-19
1240009,نیر,124,نیر,38.0346,47.9986,geonames-iran-2026-09-19
1250001,قم,125,قم,34.6401,50.8764,geonames-iran-2026-09-19
1250002,جعفرآباد,125,جعفریه,34.7747,50.5169,geonames-iran-2026-09-19
1250003,کهک,125,کهک,34.3938,50.8643,geonames-iran-2026-09-19
1260001,بویین زهرا,126,بویین زهرا,35.766,49.985,geonames-iran-2026-09-19
1260002,تاکستان,126,تاکستان,36.07057,49.69571,geonames-iran-2026-09-19
1260003,قزوین,126,قزوین,36.26877,50.0041,geonames-iran-2026-09-19
1260004,آبیک,126,آبیک,36.03993,50.53101,geonames-iran-2026-09-19
1260005,البرز,126,الوند,36.1893,50.0643,geonames-iran-2026-09-19
1260006,آوج,126,آوج,35.57959,49.22313,geonames-iran-2026-09-19
1270001,بندرگز,127,بندرگز,36.77409,53.94798,geonames-iran-2026-09-19
1270002,ترکمن,127,بندرترکمن,36.90124,54.07195,geonames-iran-2026-09-19
1270003,علی آباد کتول,127,علی آباد,36.91011,54.86737,geonames-iran-2026-09-19
1270004,کردکوی,127,کردکوی,36.79307,54.11214,geonames-iran-2026-09-19
1270005,گرگان,127,گرگان,36.8427,54.44391,geonames-iran-2026-09-19
1270006,گنبدکاووس,127,گنبدکاووس,37.25004,55.16721,geonames-iran-2026-09-19
1270007,مینودشت,127,مینودشت,37.23015,55.37211,geonames-iran-2026-09-19
1270008,آق قلا,127,آق قلا,37.0139,54.45504,geonames-iran-2026-09-19
1270009,کلاله,127,کلاله,37.37899,55.493,geonames-iran-2026-09-19
1280001,اسفراین,128,اسفراین,37.07645,57.51009,geonames-iran-2026-09-19
1280002,بجنورد,128,بجنورد,37.47473,57.32903,geonames-iran-2026-09-19
1280003,جاجرم,128,جاجرم,36.95012,56.38005,geonames-iran-2026-09-19
1280004,شیروان,128,شیروان,37.39669,57.92952,geonames-iran-2026-09-19
1280005,فاروج,128,فاروج,37.23121,58.219,geonames-iran-2026-09-19
1280006,سملقان,128,آشخانه,37.5615,56.92125,geonames-iran-2026-09-19
1280007,گرمه,128,گرمه,36.987,56.28942,geonames-iran-2026-09-19
1280008,راز و جرگلان,128,راز,37.93395,57.1126,geonames-iran-2026-09-19
1280009,بام و صفی آباد,128,صفی آباد,36.6954,57.92838,geonames-iran-2026-09-19
1290001,بیرجند,129,بیرجند,32.86628,59.22114,geonames-iran-2026-09-19
1290002,درمیان,129,اسدیه,32.9428,59.71998,geonames-iran-2026-09-19
1290003,سربیشه,129,سربیشه,32.57566,59.79821,geonames-iran-2026-09-19
1290004,قاینات,129,قاین,33.72654,59.18439,geonames-iran-2026-09-19
1290005,نهبندان,129,نهبندان,31.54185,60.03648,geonames-iran-2026-09-19
1290006,سرایان,129,سرایان,33.86017,58.52166,geonames-iran-2026-09-19
1290007,فردوس,129,فردوس,34.0185,58.17222,geonames-iran-2026-09-19
1290008,بشرویه,129,بشرویه,33.86845,57.42885,geonames-iran-2026-09-19
1290009,زیرکوه,129,حاجی آباد,33.60496,59.9934,geonames-iran-2026-09-19
1300001,کرج,130,کرج,35.83266,50.99155,geonames-iran-2026-09-19
1300002,ساوجبلاغ,130,هشتگرد,35.962,50.6799,geonames-iran-2026-09-19
1300003,نظرآباد,130,نظرآباد,35.95411,50.60607,geonames-iran-2026-09-19
1300004,طالقان,130,طالقان,36.17449,50.76908,geonames-iran-2026-09-19
1300005,اشتهارد,130,اشتهارد,35.7255,50.3662,geonames-iran-2026-09-19
1300006,فردیس,130,فردیس,35.7292,50.98483,geonames-iran-2026-09-19
1300007,چهارباغ,130,چهارباغ,35.8389,50.8481,geonames-iran-2026-09-19
10000010,زرندیه,100,مامونیه,35.30454,50.49934,geonames-iran-2026-09-19
10000011,کمیجان,100,کمیجان,34.72142,49.32653,geonames-iran-2026-09-19
